Time,X,Y,Z,Norm
6.995,-7.57,20.52,-5.20,22.48
7.015,-7.86,20.81,-5.20,22.84
7.035,-7.08,20.61,-5.40,22.45
7.056,-7.66,20.81,-5.40,22.82
7.075,-7.57,21.01,-5.40,22.97
7.097,-7.08,20.71,-5.30,22.52
7.120,-7.47,20.81,-5.10,22.69
7.142,-7.47,20.61,-5.40,22.58
7.156,-7.17,20.91,-5.10,22.69
7.177,-7.17,20.91,-5.40,22.75
7.198,-7.17,20.13,-5.30,22.01
7.219,-7.27,20.61,-5.49,22.54
7.238,-7.27,20.91,-5.69,22.86
7.260,-7.27,20.52,-5.30,22.40
7.279,-7.27,20.71,-5.40,22.61
7.298,-7.47,20.52,-4.91,22.38
7.320,-7.47,20.42,-5.20,22.36
7.342,-7.86,20.71,-5.59,22.85
7.358,-7.57,20.81,-5.49,22.81
7.379,-7.57,21.01,-5.79,23.06
7.399,-7.57,21.01,-5.49,22.99
7.419,-7.76,20.61,-5.49,22.70
7.439,-7.57,20.81,-5.30,22.77
7.459,-7.37,20.91,-5.79,22.91
7.480,-7.17,20.32,-5.10,22.15
7.500,-7.37,20.71,-5.40,22.64
7.520,-7.57,20.03,-5.79,22.18
7.540,-7.17,20.71,-5.40,22.57
7.560,-7.27,20.42,-5.40,22.34
7.580,-7.47,20.71,-5.30,22.65
7.600,-7.47,20.42,-5.59,22.45
7.620,-7.47,20.42,-5.49,22.43
7.640,-7.27,20.32,-5.20,22.20
7.661,-7.27,20.22,-5.40,22.16
7.681,-7.27,20.52,-5.01,22.34
7.700,-7.08,20.42,-5.59,22.32
7.721,-6.98,20.42,-5.20,22.20
7.741,-7.66,20.32,-5.30,22.36
7.761,-7.08,20.52,-5.49,22.39
7.782,-6.98,20.22,-5.59,22.11
7.802,-7.57,20.42,-5.40,22.43
7.822,-7.27,20.03,-5.49,22.01
7.844,-7.17,20.52,-5.40,22.40
7.863,-7.27,20.22,-5.20,22.11
7.882,-7.66,20.42,-5.69,22.54
7.903,-7.47,20.52,-5.79,22.59
7.923,-7.57,20.81,-5.49,22.81
7.944,-7.47,19.93,-5.69,22.03
7.964,-7.37,20.61,-5.20,22.50
7.982,-7.57,20.81,-5.10,22.72
8.004,-7.57,20.61,-5.01,22.52
8.023,-7.37,20.52,-5.79,22.56
8.044,-7.37,20.32,-5.40,22.28
8.065,-7.17,20.42,-5.49,22.33
8.083,-7.08,20.61,-5.49,22.48
8.103,-7.08,20.71,-5.20,22.50
8.124,-7.37,20.52,-5.40,22.46
8.144,-7.57,20.71,-5.10,22.63
8.164,-7.27,20.71,-5.49,22.63
8.183,-7.37,20.61,-5.59,22.60
8.204,-7.76,20.81,-5.30,22.83
8.224,-6.98,20.71,-5.10,22.44
8.245,-7.37,20.52,-5.30,22.44
8.266,-7.66,20.71,-5.30,22.71
8.291,-7.47,20.61,-4.81,22.45
8.312,-7.17,21.10,-5.49,22.96
8.325,-7.47,20.91,-5.20,22.80
8.345,-7.47,20.61,-5.30,22.56
8.365,-7.08,20.52,-5.30,22.34
8.392,-7.66,20.81,-5.30,22.80
8.414,-7.08,20.81,-5.01,22.54
8.426,-7.27,20.91,-5.59,22.83
8.446,-7.66,20.71,-5.49,22.76
8.466,-7.37,20.52,-5.79,22.56
8.487,-7.17,20.61,-5.40,22.48
8.508,-7.47,20.32,-5.49,22.34
8.530,-7.27,20.61,-5.40,22.52
8.546,-7.27,20.52,-5.49,22.45
8.567,-7.57,20.52,-5.59,22.57
8.588,-7.66,20.52,-5.69,22.63
8.608,-7.47,20.42,-5.49,22.43
8.628,-7.27,20.42,-5.40,22.34
8.648,-7.27,20.61,-5.59,22.56
8.668,-7.76,20.42,-5.10,22.43
8.688,-7.57,20.32,-5.40,22.35
8.709,-7.27,20.42,-5.40,22.34
8.728,-7.27,20.42,-5.30,22.31
8.750,-7.27,20.03,-5.01,21.89
8.769,-7.57,20.52,-5.30,22.50
8.793,-7.37,20.52,-5.89,22.58
8.816,-7.17,20.42,-5.49,22.33
8.828,-7.27,21.20,-5.40,23.05
8.849,-7.47,20.81,-5.01,22.67
8.872,-7.27,20.71,-5.69,22.68
8.893,-7.66,20.81,-5.20,22.78
8.915,-7.66,20.71,-5.49,22.76
8.928,-7.66,20.81,-5.40,22.82
8.949,-7.57,20.71,-5.49,22.72
8.970,-7.17,20.81,-5.01,22.57
8.990,-7.66,20.52,-5.20,22.51
9.010,-7.17,20.52,-5.79,22.49
9.030,-7.17,20.61,-5.20,22.44
9.051,-7.57,20.61,-5.40,22.61
9.069,-7.17,20.52,-5.40,22.40
9.090,-7.66,20.71,-5.49,22.76
9.110,-7.37,20.42,-5.10,22.30
9.130,-7.57,20.71,-5.89,22.82
9.151,-7.86,20.71,-5.49,22.82
9.171,-7.27,20.81,-5.40,22.70
9.190,-7.47,20.71,-5.30,22.65
9.211,-7.17,20.61,-5.49,22.51
9.231,-7.27,20.42,-5.30,22.31
9.255,-7.47,20.71,-5.59,22.72
9.271,-7.17,20.61,-5.49,22.51
9.291,-7.27,20.61,-5.30,22.49
9.311,-7.37,20.81,-5.59,22.77
9.332,-7.17,20.71,-5.40,22.57
9.353,-7.57,20.42,-5.30,22.41
9.374,-7.57,20.71,-5.40,22.70
9.394,-7.57,20.71,-5.20,22.66
9.415,-7.17,20.71,-5.40,22.57
9.435,-7.57,20.42,-4.91,22.32
9.453,-7.27,20.52,-6.08,22.60
9.473,-7.37,20.71,-5.40,22.64
9.494,-7.37,20.32,-5.30,22.26
9.513,-7.37,20.13,-5.59,22.15
