Time,X,Y,Z,Norm
4.420,4.64,-11.52,14.32,18.96
4.440,4.54,-11.04,14.32,18.64
4.461,4.83,-10.65,14.71,18.79
4.483,4.73,-11.04,14.42,18.76
4.502,4.64,-10.94,14.42,18.68
4.525,5.03,-10.94,14.13,18.56
4.541,4.83,-11.13,14.42,18.85
4.561,4.83,-11.23,14.61,19.05
4.581,4.64,-11.13,15.20,19.40
4.601,4.73,-11.04,14.71,18.99
4.624,4.83,-11.13,14.71,19.07
4.642,4.73,-10.65,14.42,18.54
4.662,4.34,-10.84,14.71,18.78
4.683,4.34,-11.04,14.61,18.82
4.704,5.13,-11.13,14.61,19.07
4.724,5.32,-11.62,15.00,19.71
4.743,4.73,-10.94,13.93,18.33
4.762,4.64,-10.94,14.71,18.91
4.783,4.73,-10.94,14.52,18.78
4.803,4.73,-11.13,14.42,18.82
4.825,4.83,-11.04,14.42,18.79
4.844,4.83,-10.94,14.61,18.88
4.864,4.44,-11.04,14.22,18.54
4.884,4.64,-10.94,14.91,19.06
4.905,4.54,-11.43,14.52,19.02
4.925,4.64,-11.43,14.52,19.05
4.945,4.25,-11.43,14.52,18.96
4.965,4.64,-11.52,14.81,19.33
4.984,4.44,-11.43,13.83,18.48
5.004,4.54,-11.43,14.81,19.25
5.024,4.73,-11.23,14.61,19.03
5.045,4.44,-11.23,14.42,18.81
5.065,4.73,-11.13,14.61,18.97
5.084,4.54,-11.13,14.81,19.08
5.105,4.44,-11.04,14.61,18.84
5.125,4.54,-11.13,14.61,18.92
5.146,4.73,-11.13,14.61,18.97
5.167,4.34,-11.13,14.52,18.80
5.187,4.93,-11.23,14.52,19.00
5.210,4.93,-11.13,14.61,19.02
5.228,4.83,-10.94,14.42,18.73
5.246,4.73,-11.23,14.81,19.18
5.266,4.73,-10.84,14.61,18.80
5.287,4.54,-11.13,14.03,18.48
5.307,4.73,-11.04,14.42,18.76
5.327,4.93,-10.94,14.42,18.76
5.347,4.73,-11.04,14.32,18.69
5.367,5.22,-11.23,14.81,19.31
5.388,4.93,-11.13,14.52,18.95
5.407,4.64,-11.13,14.32,18.72
5.427,4.73,-11.04,14.71,18.99
5.448,4.54,-11.43,14.42,18.95
5.467,4.83,-10.94,14.32,18.66
5.487,4.64,-11.33,14.52,18.99
5.508,4.93,-10.84,14.22,18.55
5.528,4.34,-11.13,14.42,18.73
5.549,4.54,-11.52,14.91,19.38
5.568,4.73,-11.43,14.32,18.92
5.594,4.83,-11.82,14.91,19.63
5.612,4.83,-11.13,14.32,18.77
5.630,4.73,-11.04,14.71,18.99
5.648,4.73,-10.94,14.71,18.93
5.670,4.73,-11.23,14.61,19.03
5.690,5.03,-11.33,15.00,19.46
5.710,4.54,-10.74,14.71,18.77
5.729,4.64,-11.13,14.52,18.87
5.749,4.44,-11.13,14.52,18.83
5.771,4.73,-10.55,14.42,18.48
5.790,4.44,-11.33,14.71,19.09
5.811,4.64,-11.23,14.71,19.08
5.830,4.73,-10.94,15.10,19.24
5.850,5.03,-11.13,14.91,19.27
5.871,4.83,-10.74,14.61,18.77
5.891,4.54,-10.74,14.61,18.70
