Time,X,Y,Z,Norm
6.516,16.16,14.94,12.17,25.15
6.536,15.97,14.65,12.07,24.80
6.558,15.48,14.74,11.98,24.50
6.580,15.87,14.35,12.27,24.66
6.596,15.57,14.74,11.68,24.42
6.616,15.57,14.74,12.07,24.61
6.639,15.97,14.65,11.98,24.76
6.657,15.87,14.65,12.27,24.84
6.680,15.67,14.55,11.78,24.42
6.697,15.57,14.74,11.98,24.56
6.718,15.87,15.14,11.78,24.89
6.739,16.06,14.84,11.49,24.70
6.758,15.48,14.55,11.78,24.29
6.778,15.67,14.74,12.17,24.72
6.804,15.38,14.84,11.88,24.45
6.820,15.77,14.74,11.78,24.59
6.839,15.48,14.74,11.68,24.36
6.858,16.06,14.65,12.07,24.87
6.882,15.77,14.84,11.68,24.61
6.899,15.87,14.35,11.98,24.52
6.918,15.77,14.45,11.78,24.42
6.938,15.67,14.35,11.78,24.30
6.959,15.67,14.74,11.59,24.44
6.979,15.67,14.65,11.98,24.57
6.999,15.77,14.74,11.88,24.64
7.030,15.97,14.55,12.07,24.75
7.048,15.57,14.55,11.39,24.17
7.060,16.06,14.06,12.07,24.53
7.080,15.87,14.55,11.88,24.59
7.100,16.06,14.26,11.49,24.36
7.121,15.38,14.65,11.78,24.29
7.142,15.97,14.26,12.07,24.57
7.161,15.97,14.45,12.07,24.69
7.181,15.77,14.16,11.98,24.34
7.201,15.97,14.74,11.98,24.81
7.221,15.77,14.65,11.98,24.63
7.242,15.77,14.45,11.68,24.37
7.261,15.77,14.74,11.98,24.69
7.281,15.57,14.16,12.17,24.31
7.301,15.77,14.26,11.49,24.16
7.321,15.77,14.74,12.27,24.83
7.342,15.97,14.74,11.88,24.77
7.362,15.77,14.74,11.98,24.69
7.382,15.77,14.45,11.78,24.42
7.402,15.77,14.55,11.98,24.57
7.422,16.16,14.35,11.78,24.62
7.443,15.97,14.35,11.78,24.49
7.466,15.97,14.65,12.07,24.80
7.483,15.77,14.35,11.98,24.46
7.503,16.16,14.45,11.88,24.72
7.524,15.48,14.74,11.68,24.36
7.551,15.87,14.65,11.88,24.65
7.563,15.97,14.35,12.07,24.63
7.583,15.77,14.94,11.78,24.71
7.604,15.57,14.74,11.78,24.47
7.624,15.48,14.55,11.59,24.20
7.645,15.57,14.26,11.88,24.23
7.665,15.87,14.74,11.88,24.70
7.685,15.87,14.65,12.07,24.74
7.704,15.77,14.45,12.27,24.66
7.726,15.77,14.74,11.98,24.69
7.744,15.77,14.74,11.98,24.69
7.764,15.67,14.74,12.07,24.67
7.784,15.87,14.55,11.78,24.54
7.805,16.06,14.45,12.27,24.85
7.825,15.48,14.74,12.07,24.55
7.849,15.57,14.16,12.46,24.46
7.867,15.87,14.35,11.88,24.47
7.885,15.97,14.16,11.78,24.38
7.905,16.16,14.35,11.29,24.39
7.926,15.38,14.45,11.68,24.12
7.946,15.67,14.55,11.49,24.28
7.967,15.38,14.45,12.27,24.41
7.986,15.77,14.35,11.78,24.36
8.006,16.16,14.35,12.17,24.81
8.027,15.67,14.35,11.78,24.30
8.047,16.06,14.55,11.98,24.76
8.067,16.06,14.35,11.98,24.65
8.087,15.97,14.35,12.56,24.87
8.107,15.87,14.35,12.27,24.66
8.128,15.77,14.26,11.78,24.30
8.147,15.77,14.65,11.98,24.63
8.167,15.97,14.55,11.78,24.60
8.188,15.87,14.65,11.88,24.65
8.208,15.67,14.74,11.88,24.58
8.228,15.87,14.45,11.88,24.53
8.248,15.57,14.74,12.17,24.66
8.269,15.97,14.35,12.27,24.73
8.288,15.77,14.45,11.98,24.51
8.313,15.67,14.45,11.78,24.36
8.331,16.06,14.35,11.98,24.65
8.349,16.26,14.65,12.27,25.09
8.368,15.97,14.74,12.17,24.91
8.389,15.97,14.16,12.37,24.66
8.416,15.97,14.26,11.98,24.53
8.432,15.87,14.55,11.49,24.40
8.450,15.67,14.45,12.17,24.55
8.469,15.67,14.45,11.98,24.45
8.490,15.77,14.84,12.07,24.79
8.512,15.57,14.94,12.17,24.78
8.531,15.87,15.04,11.49,24.70
8.551,15.67,14.65,11.49,24.33
8.570,15.48,14.74,11.59,24.31
8.590,15.97,14.65,11.68,24.62
8.610,15.77,14.55,11.98,24.57
8.631,15.57,14.74,11.78,24.47
8.651,15.57,15.04,11.88,24.69
8.670,15.67,15.04,11.98,24.80
8.692,15.87,14.84,11.88,24.76
8.711,15.48,14.84,11.88,24.51
8.732,15.77,14.55,12.07,24.62
8.753,15.57,14.74,11.88,24.52
8.772,16.06,14.45,11.98,24.70
8.792,15.87,14.65,11.98,24.69
8.812,16.06,14.55,11.78,24.67
8.833,15.57,14.65,12.07,24.55
8.853,15.38,14.26,11.98,24.15
8.873,15.48,14.74,12.17,24.60
8.893,15.77,14.45,11.98,24.51
8.913,16.06,14.65,11.68,24.68
8.932,15.48,14.55,12.17,24.48
8.953,15.57,14.55,11.49,24.21
8.974,15.67,14.65,12.07,24.62
8.995,15.67,14.55,11.68,24.37
9.019,15.67,14.45,11.78,24.36
9.033,15.87,14.45,11.39,24.30
9.054,15.77,14.74,11.98,24.69
9.074,16.36,15.04,11.98,25.24
9.097,15.97,14.55,11.88,24.65
9.116,15.97,14.45,12.07,24.69
