Time,X,Y,Z,Norm
4.303,-1.12,-18.36,16.27,24.56
4.322,-1.22,-18.26,16.27,24.49
4.343,-1.12,-18.46,16.27,24.63
4.362,-0.64,-18.75,15.79,24.52
4.382,-1.12,-18.65,15.98,24.59
4.402,-1.12,-18.07,16.27,24.34
4.422,-1.22,-18.46,15.98,24.45
4.443,-1.22,-18.36,16.27,24.57
4.463,-1.12,-18.56,15.79,24.39
4.482,-1.22,-18.65,15.98,24.59
4.503,-1.61,-18.56,16.18,24.67
4.523,-1.22,-18.46,16.08,24.51
4.544,-1.22,-18.75,15.79,24.54
4.564,-1.32,-18.17,16.27,24.42
4.583,-1.12,-18.26,16.18,24.42
4.604,-1.32,-18.95,16.18,24.95
4.626,-1.03,-18.65,15.79,24.46
4.645,-0.64,-18.65,15.88,24.51
4.664,-1.03,-18.46,16.47,24.76
4.684,-0.73,-18.65,15.88,24.51
4.704,-1.32,-18.56,16.37,24.78
4.725,-0.93,-18.46,16.08,24.50
4.746,-0.93,-18.56,15.79,24.38
4.766,-1.22,-18.56,16.27,24.71
4.787,-1.03,-18.56,16.08,24.57
4.806,-1.03,-18.46,16.18,24.56
4.826,-1.32,-18.26,15.69,24.11
4.846,-1.42,-18.36,15.98,24.38
4.866,-1.42,-18.26,15.98,24.31
4.887,-0.93,-18.75,16.57,25.04
4.907,-0.73,-18.36,16.08,24.42
4.927,-0.83,-18.65,16.08,24.64
4.948,-1.12,-18.36,16.27,24.56
4.967,-0.93,-18.56,16.57,24.89
4.988,-1.12,-18.85,16.47,25.06
5.008,-1.32,-18.46,16.08,24.51
5.027,-1.12,-18.75,16.08,24.73
5.048,-1.12,-18.26,16.37,24.55
5.068,-1.22,-18.65,16.08,24.66
5.088,-1.52,-18.46,15.69,24.27
5.107,-1.12,-18.95,16.27,25.00
5.128,-1.22,-18.36,16.08,24.44
5.148,-0.93,-18.36,15.98,24.36
5.168,-0.83,-18.36,16.08,24.42
5.188,-1.03,-18.26,16.57,24.68
5.209,-0.83,-18.56,16.47,24.82
5.229,-1.22,-18.46,16.57,24.83
5.249,-1.03,-18.95,15.88,24.74
5.269,-1.22,-18.26,16.18,24.43
5.290,-0.73,-18.46,16.57,24.81
5.310,-1.22,-18.75,16.37,24.92
5.329,-1.03,-18.46,16.27,24.63
5.348,-1.12,-18.65,15.88,24.53
5.368,-1.12,-18.46,16.08,24.50
5.390,-0.73,-18.26,15.79,24.15
5.409,-1.22,-18.36,15.88,24.31
5.429,-0.93,-18.46,16.27,24.63
5.450,-0.93,-18.36,15.69,24.17
5.470,-1.12,-18.65,16.08,24.65
5.490,-1.22,-18.26,16.27,24.49
5.510,-1.42,-18.36,15.88,24.32
5.530,-0.83,-18.46,16.08,24.49
5.551,-1.61,-18.46,15.88,24.40
5.571,-1.42,-18.26,16.18,24.44
5.591,-1.12,-18.56,16.37,24.77
5.611,-1.03,-18.65,16.08,24.65
5.631,-1.32,-18.46,16.57,24.84
5.651,-1.12,-18.65,15.79,24.46
