Time,X,Y,Z
637530062111040100, 0.08068796, 43.22028, -8.216873
637530062111243140, 0.2391634, 43.08244, -7.917875
637530062111442870, 0.06894806, 43.001, -8.31174
637530062111645710, -0.2129484, 43.41432, -8.226948
637530062111847360, -0.2489967, 43.20895, -7.345653
637530062112047900, 0.1798014, 42.95869, -7.624502
637530062112257050, -0.1493041, 43.24132, -7.734418
637530062112465640, -0.04030135, 43.49437, -7.930699
637530062112656600, 0.1112957, 43.13447, -7.9218
637530062112856680, 0.1560721, 43.26655, -7.629477
637530062113055550, -0.5306446, 42.87585, -7.445621
637530062113257850, -0.2864819, 43.07269, -7.930825
637530062113458110, -0.01900469, 43.18789, -7.828109
637530062113659190, -0.5164739, 43.09373, -7.44837
637530062113860220, -0.02588308, 42.96584, -8.118208
637530062114062890, -0.3904559, 43.33705, -8.327964
637530062114263660, -0.2013747, 43.1134, -7.733893
637530062114467560, -0.4854533, 42.7817, -7.736244
637530062114667440, -0.613322, 42.83374, -7.74017
637530062114871480, -0.03317533, 42.97001, -7.825359
637530062115071430, -0.3361208, 42.94339, -8.027917
637530062115275190, -0.229716, 42.67763, -7.728395
637530062115477350, -0.785968, 42.75369, -8.036418
637530062115674430, -0.3695722, 43.25681, -7.642427
637530062115875370, -0.2437204, 42.97993, -8.123833
637530062116078430, -0.4358134, 42.91101, -7.639153
637530062116277910, -0.4639904, 42.99542, -8.031842
637530062116479720, 0.007154435, 42.87864, -7.920751
637530062116680480, 0.1303269, 43.34958, -8.119781
637530062116882410, 0.1161572, 43.13169, -8.117032
637530062117084040, -0.03317533, 42.97001, -7.825359
637530062117286020, 0.06651731, 43.00239, -8.214124
637530062117488010, 0.1021509, 43.43399, -8.51247
637530062117688350, -0.007263839, 43.40717, -7.733242
637530062117890360, -0.01657394, 43.1865, -7.925725
637530062118096800, -0.01414318, 43.18511, -8.023341
637530062118298390, -0.1799109, 43.32713, -8.02949
637530062118499520, -0.05690371, 43.27787, -7.830333
637530062118701100, -0.1041128, 43.14717, -8.025042
637530062118903290, -0.5091817, 43.08957, -7.741219
637530062119100130, 0.2581955, 43.29754, -8.115856
637530062119299540, -0.1114051, 43.15134, -7.732193
637530062119501200, -0.1278402, 43.45504, -8.030015
637530062119702760, -0.06621285, 43.0572, -8.022817
637530062119904420, -0.4354005, 42.68478, -8.2221
637530062120117130, -0.2603227, 42.76344, -8.023467
637530062120319770, -0.3292424, 43.16544, -7.737818
637530062120523830, -0.3079448, 42.85897, -7.635228
637530062120720190, -0.2864819, 43.07269, -7.930825
637530062120920150, -0.3172549, 42.6383, -7.827711
637530062121118580, -0.6842594, 43.01091, -7.939851
637530062121320710, -0.3575847, 42.72966, -7.73232
637530062121519270, -0.2131137, 42.89413, -7.82876
